"code","state","regions","Y1945","Y1949","Y1954","Y1959","Y1964","Y1969","Y1974","Y1978","Y1982","Y1987","Y1992","Y1997","Y2002","Y2007"
"ME","  Maine ","Northeast",1490,1407,1274,1186,1002,735,653,689,629,577,591,466,478,462.454
"NH","  New Hampshire","Northeast",509,451,385,360,256,198,174,198,166,147,143,112,108,103.378355
"VT","  Vermont","Northeast",1281,1156,1072,988,883,867,812,862,784,655,585,484,589,487.03
"MA","  Massachusetts","Northeast",703,624,561,467,369,288,264,310,282,271,230,211,196,169.305269
"RI","  Rhode Island","Northeast",81,80,69,53,46,32,29,36,37,29,26,30,25,22.462562
"CT","  Connecticut","Northeast",530,498,467,358,299,252,234,250,235,207,188,166,152,136.451272
"NY","  New York","Northeast",8367,8485,7864,6978,6626,6276,6085,6181,5900,5254,4568,4112,4494,4140.339
"NJ","  New Jersey","Northeast",1136,1090,1096,1006,858,713,714,750,725,652,609,634,552,479.022486
"PA","  Pennsylvania","Northeast",8001,7945,7399,6916,6314,6065,5930,5816,5790,5552,5161,5181,5125,5264.477758
"DE","  Delaware","Northeast",564,535,519,574,533,533,546,536,559,549,488,451,454,422.592345
"MD","  Maryland","Northeast",2364,2286,2124,2087,1987,1894,1893,1873,1847,1814,1748,1555,1527,1279.017134
"MI","  Michigan","Lake States",11210,11044,10836,10470,9867,8682,8345,8665,8814,8381,8623,8304,8060,8014.111445
"WI","  Wisconsin","Lake States",12682,12905,12766,12502,12367,12270,11866,12239,12044,10590,10385,9561,10779,10202.73034
"MN","  Minnesota  ","Lake States",22292,22461,22295,22523,22736,23380,23906,24243,24183,23422,23511,22839,23264,22342.302703
"OH","  Ohio","Corn Belt",13302,13378,13054,12427,12035,12584,12705,12558,12246,12373,11885,12026,11530,10923.474101
"IN","  Indiana","Corn Belt",13540,13827,13877,14198,13755,14071,14079,14030,13958,13641,13404,13689,13027,12746.884631
"IL","  Illinois","Corn Belt",23583,23944,24050,23864,24165,25466,25010,25493,25245,25197,25585,24925,24531,24056.435286
"IA","  Iowa","Corn Belt",24942,26050,26170,26551,26623,28398,28189,28719,28534,27981,28602,27911,27556,26729.709597
"MO","  Missouri","Corn Belt",16857,18757,18117,18050,18172,21450,20481,20961,20438,20444,20132,20013,19085,16561.039226
"ND","  North Dakota","Northern Plains",25103,27628,27872,28275,27914,30187,30298,29618,29496,29427,29622,28818,27686,27675.516797
"SD","  South Dakota","Northern Plains",18503,19821,19692,19070,18965,20844,19680,19294,20392,21618,20382,21765,21066,19852.758659
"NE","  Nebraska","Northern Plains",23428,23777,23269,23637,22275,23379,23410,23317,24179,24225,24103,23555,22764,21611.907562
"KS","  Kansas","Northern Plains",28436,29440,30210,30072,29689,32827,31625,30674,32902,34343,32495,33708,30461,28547.881878
"VA","  Virginia","Appalachian",5792,5789,4886,4427,4080,4925,4690,4783,4753,4613,4436,4340,4168,3250.669919
"WV","  West Virginia","Appalachian",1974,2354,1835,1521,1238,1763,1617,1611,1549,1419,1386,1411,1208,921.019
"NC","  North Carolina","Appalachian",7602,7699,7264,7358,6154,6480,6576,6571,6436,6001,5935,5890,5199,4843.092238
"KY","  Kentucky","Appalachian",10399,11601,10641,8536,9437,9810,9397,9846,9518,9625,9702,8860,8353,7620.561955
"TN","  Tennessee","Appalachian",9273,9920,9096,8148,7974,8652,8376,8448,8113,7793,7677,7491,7084,6018.810797
"SC","  South Carolina","Southeast",5187,5387,4891,4541,3706,3663,3565,3604,3398,3192,3059,2532,2326,2000.583096
"GA","  Georgia","Southeast",10643,10487,9009,7458,6381,7103,7148,7161,7124,6431,6528,7329,5045,4619.096939
"FL","  Florida","Southeast",2877,3324,3443,3044,3582,3773,4198,4497,4174,3864,3927,3650,3716,2759.583
"AL","  Alabama","Southeast",8266,8721,7481,6028,5211,5885,5797,5888,5642,4803,4539,4471,3737,3103.553
"MS","  Mississippi","Delta States",8285,8972,7805,7183,6655,8394,8709,8542,8021,7792,7419,6464,6063,5556.312819
"AR","  Arkansas","Delta States",8772,9654,8863,8570,8571,10202,10286,10811,10506,10188,10426,10082,9645,8239.619696
"LA","  Louisiana","Delta States",5135,5657,5494,5055,5012,5962,6059,6597,6451,5908,5894,5485,5338,4434.56119
"OK","  Oklahoma","Southern Plains",16963,16016,14774,15096,13540,16036,15831,15078,15445,15874,16014,16336,15229,12840.025
"TX","  Texas","Southern Plains",34860,37970,37346,38820,35906,40007,37938,40764,39121,36463,39059,40040,40441,34115.013592
"MT","  Montana","Mountain",11319,13928,15005,15243,15661,16493,16021,16327,16839,18264,18520,18573,18118,17867.25
"ID","  Idaho","Mountain",4589,5230,5540,5821,5982,6166,6395,6632,6603,6963,6677,5766,6408,5980.118002
"WY","  Wyoming","Mountain",2220,2712,2582,2768,2836,2813,2730,2916,2778,2948,3056,3080,2860,2218.486
"CO","  Colorado","Mountain",8557,11028,11257,11846,11341,11105,10959,10818,10870,11912,11682,11415,12044,11428.094
"NM","  New Mexico","Mountain",2502,2839,2504,2650,2554,2351,2302,2338,2369,2439,2482,2427,2671,2366.958579
"AZ","  Arizona","Mountain",959,1266,1615,1557,1669,1665,1645,1659,1533,1547,1303,1254,1235,913.931
"UT","  Utah","Mountain",1664,2053,2037,2219,2288,1983,1996,2034,1995,2104,2108,2045,2044,1738.171
"NV","  Nevada","Mountain",546,619,678,848,836,783,753,865,862,852,831,867,884,731.319
"WA","  Washington","Pacific",7132,7721,7710,8053,8185,8278,8367,8410,8480,8365,8235,8400,7983,7626.116425
"OR","  Oregon","Pacific",4909,5537,5282,5474,5425,5145,5276,5247,5357,5384,5281,5339,5311,4933.559442
"CA","  California","Pacific",11363,13765,13251,12607,11841,10879,11143,11721,11566,11487,10412,10628,10655,9550.334846
"AK","Alaska","Others",NA,12,13,24,24,18,25,29,53,77,96,68,90,85.954
"HI","Hawaii","Others",NA,465,307,500,371,372,357,333,345,344,294,293,187,144.769477
"XX","Northeast","Northeast Total",25027,24557,22830,20973,19173,17853,17334,17501,16954,15707,14337,13402,13700,12966.530182
"XX","Lake States","Lake States Total",46184,46410,45897,45495,44970,44332,44117,45147,45041,42393,42519,40704,42102,40559.144488
"XX","Corn Belt","Corn Belt Total",92224,95956,95268,95090,94750,101969,100464,101761,100421,99636,99608,98565,95728,91017.542839
"XX","Northern Plains","Northern Plains Total",95470,100666,101043,101054,98843,107237,105013,102903,106969,109613,106602,107846,101978,97688.064896
"XX","Appalachian","Appalachian Total",35040,37363,33722,29990,28883,31630,30656,31259,30369,29451,29136,27992,26011,22654.153909
"XX","Southeast","Southeast Total",26973,27919,24824,21071,18880,20424,20708,21150,20338,18290,18053,17982,14824,12482.816035
"XX","Delta States","Delta States Total",22192,24283,22162,20808,20238,24558,25054,25950,24978,23888,23739,22031,21046,18230.493705
"XX","Southern Plains","Southern Plains Total",51823,53986,52120,53916,49446,56043,53769,55842,54566,52337,55073,56377,55670,46955.038592
"XX","Mountain","Mountain Total",32356,39675,41218,42952,43167,43359,42801,43589,43849,47029,46659,45426,46265,43244.32758
"XX","Pacific","Pacific Total",23404,27023,26243,26134,25451,24302,24786,25378,25403,25236,23928,24367,23949,22110.010713
"XX","Others","Other Total",NA,477,320,524,395,390,382,362,398,421,390,361,277,230.72
