"code","state","regions","Y1945","Y1949","Y1954","Y1959","Y1964","Y1969","Y1974","Y1978","Y1982","Y1987","Y1992","Y1997","Y2002","Y2007"
"ME","  Maine ","Northeast",0.075002516862982,0.0708245243128964,0.0641296687808316,0.0597541313986296,0.0506137293529323,0.0371418464803679,0.0329981302743949,0.0348173227550659,0.0317084236527701,0.029087059535212,0.0299195058978383,0.0235913532121703,0.0242000810044552,0.0234130214661806
"NH","  New Hampshire","Northeast",0.0881385281385281,0.0781493675272916,0.0667128747184197,0.062402496099844,0.0442829960214496,0.0342738445559979,0.0301194391552709,0.0342738445559979,0.0288394718554552,0.0255385684503127,0.0249128919860627,0.0195121951219512,0.018815331010453,0.0180101663763066
"VT","  Vermont","Northeast",0.215729201751431,0.194678342876389,0.180532165712361,0.166414013811689,0.148778433024431,0.146181082448154,0.136907772719609,0.145338054291013,0.132097725358045,0.110362257792755,0.0988175675675676,0.0817567567567568,0.0994932432432432,0.0822685810810811
"MA","  Massachusetts","Northeast",0.138932806324111,0.123932472691162,0.11142005958292,0.0927507447864945,0.0736086175942549,0.0574965062886804,0.0527051307646237,0.0618886005190657,0.0563099041533546,0.0541134185303514,0.0458532695374801,0.0420653907496013,0.0390593862096453,0.0337395912714229
"RI","  Rhode Island","Northeast",0.119645494830133,0.118168389955687,0.10192023633678,0.0782865583456425,0.0685543964232489,0.0476900149031297,0.0432190760059613,0.0536512667660209,0.0548148148148148,0.042962962962963,0.038863976083707,0.0448430493273543,0.0373692077727952,0.0335763258594918
"CT","  Connecticut","Northeast",0.169059011164274,0.158851674641148,0.14896331738437,0.114194577352472,0.095925569457812,0.0809768637532134,0.0751928020565553,0.0803341902313625,0.0753688261706222,0.0663887107119949,0.0606256046436633,0.0535311189938729,0.0490164463076427,0.0440023450499839
"NY","  New York","Northeast",0.272762836185819,0.276528483900404,0.256289923086951,0.227437176102474,0.216281498890195,0.205017640141121,0.198778256892722,0.201914281980923,0.194584611325484,0.173279245407473,0.151143169109619,0.136055322105681,0.148724228083529,0.137020187311778
"NJ","  New Jersey","Northeast",0.235978396343997,0.226422933111757,0.22766929788118,0.209017244961562,0.178008298755187,0.148140452939954,0.148348223561188,0.155827965925618,0.151705377694078,0.136430215526261,0.128264532434709,0.133529907329402,0.116283968822414,0.100910572150832
"PA","  Pennsylvania","Northeast",0.277533039647577,0.275590551181102,0.256651288632974,0.240097205346294,0.2191143808995,0.210751268329974,0.206060184863437,0.202098825491695,0.201545530492899,0.193260930103035,0.179919818720586,0.180617047237232,0.178677265279085,0.183539997838441
"DE","  Delaware","Northeast",0.445497630331754,0.42259083728278,0.409952606635071,0.453396524486572,0.420347003154574,0.420347003154574,0.430599369085173,0.422712933753943,0.451899757477769,0.443815683104285,0.390087929656275,0.360511590727418,0.36290967226219,0.337803633093525
"MD","  Maryland","Northeast",0.373577749683944,0.361480075901328,0.335863377609108,0.330273777496439,0.31390205371248,0.299210110584518,0.299052132701422,0.295892575039494,0.293360864040661,0.288119440914867,0.279411764705882,0.248561381074169,0.244124700239808,0.204479158113509
"MI","  Michigan","Lake States",0.30717378199156,0.302625089055735,0.296925522003617,0.286912199934232,0.271339786602134,0.23875917828562,0.229491516101532,0.238291670104227,0.241804065732079,0.229925104935393,0.237169261235492,0.2283954012872,0.221702654380415,0.220440419337093
"WI","  Wisconsin","Lake States",0.362156605174482,0.368598440490132,0.364628259689812,0.357087772414384,0.354792437673925,0.352009639383768,0.340419427948475,0.351120291476604,0.345764074297362,0.304022048057876,0.298754351140646,0.27504962457927,0.310115656827205,0.293536174118189
"MN","  Minnesota  ","Lake States",0.435339608639613,0.438640003124634,0.435398195523962,0.439850798734523,0.448044142280028,0.460735047787959,0.471100601044438,0.477741649423589,0.475005401583155,0.460057747834456,0.461416179298976,0.44822781332182,0.456604514229637,0.438514282688911
"OH","  Ohio","Corn Belt",0.505433543582339,0.509832317073171,0.497484756097561,0.473915033178247,0.458493656901215,0.479865771812081,0.484479865771812,0.478874313605857,0.466638722707008,0.471478108447967,0.45347018199855,0.458850013354191,0.439958789636357,0.416815129583699
"IN","  Indiana","Corn Belt",0.58435112856588,0.596737300936515,0.598895170687497,0.613092667760601,0.593886274340486,0.609081464808242,0.609427755172712,0.60730672669033,0.606975126108888,0.593190120020873,0.583874199590539,0.596288713682101,0.567501633631017,0.555298829492485
