"code","state","regions","Y1945","Y1949","Y1954","Y1959","Y1964","Y1969","Y1974","Y1978","Y1982","Y1987","Y1992","Y1997","Y2002","Y2007"
"ME","  Maine ","Northeast",16751,16685,16901,17073,17244,17605,17505,17474,17565,17437,17461,16952,16951,17354.622901
"NH","  New Hampshire","Northeast",4775,4823,4761,4805,4933,5046,5046,4867,4839,4803,4785,4551,4503,4421.640941
"VT","  Vermont","Northeast",3356,3835,3720,3725,4280,4384,4384,4450,4432,4424,4474,4462,4483,4503.935178
"MA","  Massachusetts","Northeast",3242,3298,3270,3270,3270,3412,2848,2847,2811,2760,2678,2475,2330,2240.106569
"RI","  Rhode Island","Northeast",393,447,430,429,430,429,395,395,391,391,372,336,314,312.77031
"CT","  Connecticut","Northeast",1833,1900,1979,1979,1979,2119,1846,1831,1745,1751,1693,1557,1436,1412.825134
"NY","  New York","Northeast",10881,11142,12073,12073,12073,14897,14897,14737,15939,16226,16291,15405,15389,16168.085356
"NJ","  New Jersey","Northeast",2294,2331,1941,2052,2162,2396,1856,1894,1940,1814,1764,1507,1476,1472.209836
"PA","  Pennsylvania","Northeast",15165,15132,15108,15147,16975,17638,17638,16632,16294,16189,15946,15852,15853,16118.72358
"DE","  Delaware","Northeast",442,442,454,392,391,390,390,390,394,388,386,376,376,382.846672
"MD","  Maryland","Northeast",2656,2724,2900,2900,2900,2925,2925,2544,2420,2462,2474,2424,2372,2385.982661
"MI","  Michigan","Lake States",18821,18448,19045,19201,19356,19100,19000,18979,18078,17597,17442,18667,18616,19019.442897
"WI","  Wisconsin","Lake States",15983,16914,16497,15564,15539,14892,14891,14840,14877,15058,15257,15701,15701,16168.001904
"MN","  Minnesota  ","Lake States",19656,19200,18909,18716,18522,18466,18415,16014,15643,13572,15632,14820,14722,15571.81102
"OH","  Ohio","Corn Belt",4820,4779,5396,5259,5121,6422,6422,6065,6837,7141,7623,7567,7568,7666.267989
"IN","  Indiana","Corn Belt",3397,3358,4045,4003,3960,3870,3870,3895,3878,4296,4296,4342,4342,4532.66287
"IL","  Illinois","Corn Belt",3326,3942,3947,3887,3826,3745,3745,3757,3551,4030,4030,4058,4087,4363.037269
"IA","  Iowa","Corn Belt",2224,2226,2505,1957,2295,2250,2430,1485,1227,1460,1944,1944,1944,2864.059773
"MO","  Missouri","Corn Belt",15187,15150,15140,15164,15205,14828,12661,12587,12348,12192,13377,13411,13364,14837.750343
"ND","  North Dakota","Northern Plains",557,606,551,467,436,422,419,426,515,460,338,441,441,698.878157
"SD","  South Dakota","Northern Plains",1545,1914,2133,1383,1496,1699,1700,1673,1610,1552,1450,1588,1511,1640.094261
"NE","  Nebraska","Northern Plains",892,1087,1080,1073,848,1031,1032,1015,796,699,568,797,897,1234.38894
"KS","  Kansas","Northern Plains",1101,1111,1664,1668,1464,1344,1363,1298,1359,1207,1337,1492,1490,2104.028481
"VA","  Virginia","Appalachian",14488,14561,15527,15131,16059,16075,16076,16009,15872,15497,15353,15345,15372,15350.328852
"WV","  West Virginia","Appalachian",9434,9854,9866,9907,11423,12126,12126,11509,11509,11799,11916,11899,11900,11832.856122
"NC","  North Carolina","Appalachian",18164,18068,19160,19118,20092,20224,20223,19590,18604,18401,18710,18638,18664,18036.874513
"KY","  Kentucky","Appalachian",9684,10082,11167,11397,11804,11887,11888,11948,11948,11909,12360,12348,11947,11685.737459
"TN","  Tennessee","Appalachian",11899,11911,12301,13758,13643,12820,12820,12820,12965,12863,13275,13265,13656,13912.727718
"SC","  South Carolina","Southeast",10459,11903,11894,11706,11566,12403,12402,12167,12084,12179,12179,12418,12301,12646.462793
"GA","  Georgia","Southeast",21028,21205,23667,24057,26052,25157,24869,24840,23768,23402,23631,23004,23802,24266.60145
"FL","  Florida","Southeast",22759,23001,21787,20321,19625,17753,17652,16738,16325,16260,15683,14605,14636,15649.464173
"AL","  Alabama","Southeast",18748,18817,20766,20771,21749,21748,21333,21333,21179,21659,21941,21911,22922,22587.109819
"MS","  Mississippi","Delta States",15640,16509,16440,17225,17976,16892,16892,16696,16505,16674,16991,18589,18572,19579.153089
"AR","  Arkansas","Delta States",19928,20020,19295,19891,20630,18237,18236,18230,17324,16896,17423,18392,18373,18595.768759
"LA","  Louisiana","Delta States",15836,16186,15906,16129,16018,15342,15342,14527,13998,13873,13855,13691,13722,14141.922948
"OK","  Oklahoma","Southern Plains",10581,10639,10289,10051,9179,8926,9296,8471,6810,6970,7122,6233,6234,7619.711
"TX","  Texas","Southern Plains",35737,36545,32810,27850,23892,24064,24043,23203,14080,13536,14548,11767,11774,17158.949018
"MT","  Montana","Mountain",23536,21289,19803,20872,19235,19899,19899,19003,18936,18709,18592,19165,19184,19874.528947
"ID","  Idaho","Mountain",18797,18544,17410,17609,17808,18030,18030,17890,17880,17767,18033,17123,16824,17455.133879
"WY","  Wyoming","Mountain",7019,7009,7720,7648,6362,5885,5885,5640,5640,5552,5766,5085,5739,7660.777663
"CO","  Colorado","Mountain",19533,19103,19523,20913,21351,19387,19387,20009,19809,18837,18837,18781,18925,18235.913405
"NM","  New Mexico","Mountain",19968,19291,20369,18934,17341,17256,17256,16805,16805,17127,14164,14084,14978,14977.395162
"AZ","  Arizona","Mountain",19466,19206,18412,18278,19798,17420,17420,17475,17846,17257,15968,16306,17608,16780.294788
