"code","state","regions","Y1945","Y1949","Y1954","Y1959","Y1964","Y1969","Y1974","Y1978","Y1982","Y1987","Y1992","Y1997","Y2002","Y2007"
"ME","  Maine ","Northeast",84.32,83.988,85.075,86.019,87.104,88.964,88.458,88.302,88.547,87.901,88.397,85.82,85.819,87.863
"NH","  New Hampshire","Northeast",82.684,83.573,82.499,83.29,85.331,87.346,87.346,84.248,84.069,83.443,83.362,79.286,78.449,77.032
"VT","  Vermont","Northeast",56.517,64.584,62.647,62.742,72.115,73.917,73.917,75.03,74.676,74.541,75.574,75.372,75.726,76.08
"MA","  Massachusetts","Northeast",64.071,65.501,64.945,64.945,65.23,68.117,56.858,56.838,56.13,55.112,53.389,49.342,46.433,44.641
"RI","  Rhode Island","Northeast",58.05,66.027,63.516,63.368,64.083,63.934,58.867,58.867,57.926,57.926,55.605,50.224,46.936,46.752
"CT","  Connecticut","Northeast",58.469,60.606,63.126,63.126,63.491,68.091,59.319,58.837,55.965,56.158,54.595,50.21,46.308,45.56
"NY","  New York","Northeast",35.472,36.312,39.346,39.35,39.408,48.664,48.664,48.141,52.568,53.514,53.903,50.971,50.928,53.507
"NJ","  New Jersey","Northeast",47.653,48.421,40.32,42.635,44.855,49.782,38.562,39.352,40.594,37.958,37.152,31.74,31.093,31.013
"PA","  Pennsylvania","Northeast",52.603,52.489,52.406,52.585,58.908,61.29,61.29,57.794,56.718,56.353,55.59,55.262,55.27,56.196
"DE","  Delaware","Northeast",34.913,34.913,35.861,30.964,30.836,30.757,30.757,30.757,31.851,31.366,30.855,30.056,30.056,30.603
"MD","  Maryland","Northeast",41.972,43.074,45.857,45.893,45.814,46.209,46.209,40.19,38.437,39.104,39.546,38.747,37.922,38.145
"MI","  Michigan","Lake States",51.573,50.551,52.187,52.617,53.228,52.526,52.251,52.193,49.595,48.276,47.973,51.342,51.206,52.316
"WI","  Wisconsin","Lake States",45.642,48.311,47.119,44.455,44.579,42.723,42.72,42.574,42.709,43.229,43.891,45.168,45.172,46.516
"MN","  Minnesota  ","Lake States",38.386,37.496,36.927,36.55,36.5,36.39,36.289,31.558,30.726,26.658,30.679,29.085,28.895,30.563
