"code","state","regions","Y1945","Y1949","Y1954","Y1959","Y1964","Y1969","Y1974","Y1978","Y1982","Y1987","Y1992","Y1997","Y2002","Y2007"
"ME","  Maine ","Northeast",439,273,254,291,283,174,142,118,94,72,38,37,42,104.581
"NH","  New Hampshire","Northeast",231,148,157,86,47,57,34,32,46,50,48,40,47,90.465
"VT","  Vermont","Northeast",1023,752,744,692,406,290,234,188,260,200,191,212,208,261.414
"MA","  Massachusetts","Northeast",247,145,153,192,135,49,52,43,48,45,35,35,31,54.181
"RI","  Rhode Island","Northeast",41,13,12,21,7,5,5,3,3,3,2,3,4,7.906
"CT","  Connecticut","Northeast",270,157,168,194,192,54,46,47,48,47,37,30,30,32.686
"NY","  New York","Northeast",4549,3126,3222,3543,3447,1295,1580,1394,904,1005,1292,1314,1359,2413.86
"NJ","  New Jersey","Northeast",176,125,94,203,148,61,54,52,26,35,33,29,40,51.02
"PA","  Pennsylvania","Northeast",2638,1811,1939,2169,1868,849,1026,901,949,1093,1088,910,962,1123.466827
"DE","  Delaware","Northeast",40,28,26,30,18,34,8,11,12,12,11,8,10,23.058
"MD","  Maryland","Northeast",472,350,417,578,559,294,209,174,222,215,212,208,291,463.948
"MI","  Michigan","Lake States",2287,1101,1045,1763,2045,1338,1241,1211,1881,1731,1736,1606,1561,1697.436036
"WI","  Wisconsin","Lake States",3954,2432,2520,3182,3086,2526,2095,1914,2009,2079,1869,1844,2003,2768.463768
"MN","  Minnesota  ","Lake States",3825,2618,2722,3321,3354,2311,1954,1590,1689,1661,1673,1544,1830,3020.249601
"OH","  Ohio","Corn Belt",4552,3063,3009,3364,3708,2374,1610,1545,1430,1502,1478,1376,1241,1924.340611
"IN","  Indiana","Corn Belt",2475,1468,1314,1868,2286,2038,1487,1347,1352,1326,1261,1158,1335,1642.39668
"IL","  Illinois","Corn Belt",3903,2265,2083,3321,3375,2614,1834,1551,1773,1668,1590,1559,1950,1940.197666
"IA","  Iowa","Corn Belt",5759,3731,3799,5153,3248,2089,2152,1755,2065,1882,1518,1477,2134,2460.109495
"MO","  Missouri","Corn Belt",9637,6036,6625,8100,7718,4833,6610,5812,6540,6465,6478,6010,6419,8423.313365
"ND","  North Dakota","Northern Plains",14425,13121,13300,13457,12988,11278,10528,10888,11028,11187,10951,11329,11529,11935.479024
