"code","state","regions","Y1945","Y1949","Y1954","Y1959","Y1964","Y1969","Y1974","Y1978","Y1982","Y1987","Y1992","Y1997","Y2002","Y2007"
"ME","  Maine ","Northeast",2.21,1.374,1.279,1.466,1.43,0.879,0.718,0.596,0.474,0.363,0.192,0.187,0.213,0.529
"NH","  New Hampshire","Northeast",4,2.565,2.72,1.491,0.813,0.987,0.589,0.554,0.799,0.869,0.836,0.697,0.819,1.576
"VT","  Vermont","Northeast",17.228,12.664,12.529,11.656,6.841,4.89,3.945,3.17,4.381,3.37,3.226,3.581,3.514,4.416
"MA","  Massachusetts","Northeast",4.881,2.88,3.039,3.813,2.693,0.978,1.038,0.858,0.958,0.899,0.698,0.698,0.618,1.08
"RI","  Rhode Island","Northeast",6.056,1.92,1.773,3.102,1.043,0.745,0.745,0.447,0.444,0.444,0.299,0.448,0.598,1.182
"CT","  Connecticut","Northeast",8.612,5.008,5.359,6.188,6.16,1.735,1.478,1.51,1.539,1.507,1.193,0.967,0.967,1.054
"NY","  New York","Northeast",14.83,10.188,10.501,11.548,11.251,4.23,5.161,4.554,2.981,3.315,4.275,4.348,4.497,7.988
"NJ","  New Jersey","Northeast",3.656,2.597,1.953,4.218,3.071,1.267,1.122,1.08,0.544,0.732,0.695,0.611,0.843,1.075
"PA","  Pennsylvania","Northeast",9.151,6.282,6.726,7.53,6.483,2.95,3.565,3.131,3.303,3.805,3.793,3.172,3.354,3.917
"DE","  Delaware","Northeast",3.16,2.212,2.054,2.37,1.42,2.681,0.631,0.868,0.97,0.97,0.879,0.639,0.799,1.843
"MD","  Maryland","Northeast",7.459,5.534,6.594,9.147,8.831,4.645,3.302,2.749,3.526,3.415,3.389,3.325,4.652,7.417
"MI","  Michigan","Lake States",6.267,3.017,2.863,4.831,5.624,3.68,3.413,3.33,5.16,4.749,4.775,4.417,4.294,4.669
"WI","  Wisconsin","Lake States",11.291,6.946,7.198,9.089,8.853,7.247,6.01,5.491,5.768,5.968,5.377,5.305,5.763,7.965
"MN","  Minnesota  ","Lake States",7.47,5.113,5.316,6.486,6.61,4.554,3.851,3.133,3.318,3.263,3.283,3.03,3.592,5.928
"OH","  Ohio","Corn Belt",17.296,11.673,11.467,12.829,14.126,9.053,6.139,5.892,5.449,5.723,5.639,5.25,4.735,7.343
"IN","  Indiana","Corn Belt",10.681,6.336,5.671,8.066,9.87,8.822,6.437,5.831,5.879,5.766,5.493,5.044,5.816,7.155
"IL","  Illinois","Corn Belt",10.9,6.327,5.819,9.278,9.438,7.326,5.14,4.347,4.979,4.684,4.469,4.382,5.482,5.454
"IA","  Iowa","Corn Belt",16.073,10.402,10.591,14.369,9.055,5.835,6.011,4.902,5.765,5.254,4.245,4.13,5.968,6.88
"MO","  Missouri","Corn Belt",21.738,13.624,14.953,18.306,17.465,10.945,14.969,13.162,14.822,14.652,14.691,13.63,14.56,19.106
"ND","  North Dakota","Northern Plains",32.174,29.264,29.664,30.273,29.292,25.436,23.744,24.556,24.865,25.223,24.801,25.657,26.116,27.037
"SD","  South Dakota","Northern Plains",51.41,49.817,50.556,53.42,52.316,49.433,50.75,49.767,48.405,45.796,49.301,46.516,46.302,47.9
"NE","  Nebraska","Northern Plains",45.605,45.153,45.944,45.411,48.456,45.31,45.225,45.216,43.285,41.66,42.512,44.364,44.597,47.138
"KS","  Kansas","Northern Plains",38.657,33.07,33.866,34.101,35.273,29.522,30.471,30.557,26.572,25.326,26.505,23.985,28.798,31.392
"VA","  Virginia","Appalachian",12.367,9.318,10.853,14.088,12.593,8.963,7.145,6.112,6.757,6.978,6.818,6.049,5.418,9.718
