"code","state","regions","Y1945","Y1949","Y1954","Y1959","Y1964","Y1969","Y1974","Y1978","Y1982","Y1987","Y1992","Y1997","Y2002","Y2007"
"ME","  Maine ","Northeast",640,915,853,616,561,502,710,578,536,710,735,1197,1468,1006.584435
"NH","  New Hampshire","Northeast",41,106,236,258,243,203,219,122,112,81,169,344,388,200.127846
"VT","  Vermont","Northeast",114,30,247,358,54,157,238,119,126,141,229,305,198,103.979723
"MA","  Massachusetts","Northeast",135,222,256,72,98,99,637,150,2,0,29,28,99,38.323542
"RI","  Rhode Island","Northeast",21,0,21,0,7,7,52,0,0,3,3,6,13,1.295004
"CT","  Connecticut","Northeast",85,140,97,24,27,55,325,149,155,7,51,13,55,30.433142
"NY","  New York","Northeast",2459,3156,3018,3018,3234,2565,2548,2531,1578,1697,2041,3150,2468,877.885287
"NJ","  New Jersey","Northeast",172,143,572,209,169,116,591,364,137,55,41,138,73,62.301815
"PA","  Pennsylvania","Northeast",959,917,1422,1251,224,598,470,1381,1382,1541,2116,2218,1404,542.92285
"DE","  Delaware","Northeast",122,154,149,121,167,135,138,126,62,41,118,159,104,73.806341
"MD","  Maryland","Northeast",364,428,320,56,123,279,275,411,381,178,69,130,167,334.558962
"MI","  Michigan","Lake States",1733,2732,2807,1589,1530,3503,3910,4009,4123,4622,4328,3417,3280,2603.281499
"WI","  Wisconsin","Lake States",427,590,989,1070,969,2489,3341,2863,2800,3973,3955,4359,2785,2224.122884
"MN","  Minnesota  ","Lake States",2818,3082,3349,2363,1837,2758,2466,3503,3760,3225,4628,5934,5489,4083.767335
"OH","  Ohio","Corn Belt",1684,2915,2567,2381,2531,1929,2504,2706,2336,1757,1647,1528,1904,1745.667679
"IN","  Indiana","Corn Belt",2188,2893,2257,1286,1336,1178,1625,1720,1686,1576,1920,1341,1558,1219.905888
"IL","  Illinois","Corn Belt",2485,2947,2980,1740,1322,719,1879,1402,1301,932,434,922,732,376.37566
"IA","  Iowa","Corn Belt",851,1737,1270,24,1421,1075,1009,1520,1616,2185,1418,2077,1744,1016.159955
"MO","  Missouri","Corn Belt",718,2410,2327,669,809,756,2084,2108,1995,2044,1089,1530,2111,1036.06008
"ND","  North Dakota","Northern Plains",2998,1560,961,222,770,1005,1562,1493,1394,1565,1531,1950,2708,1789.51874
"SD","  South Dakota","Northern Plains",1757,906,548,101,304,243,971,1767,1371,1531,1054,901,1540,1394.739766
"NE","  Nebraska","Northern Plains",591,261,385,262,270,682,752,735,1069,1910,1870,1305,1651,1019.244521
"KS","  Kansas","Northern Plains",662,2522,829,686,562,545,1196,2161,1889,1194,2397,2294,2832,2641.710474
"VA","  Virginia","Appalachian",711,1333,781,336,270,263,747,613,474,674,914,1003,1312,1059.197778
"WV","  West Virginia","Appalachian",237,362,878,282,362,106,377,991,946,823,655,637,502,71.047322
"NC","  North Carolina","Appalachian",2813,2609,1315,952,883,758,651,1326,2018,2053,1718,1814,1748,1849.116524
"KY","  Kentucky","Appalachian",462,583,500,1510,516,345,559,699,683,487,318,940,431,492.699088
"TN","  Tennessee","Appalachian",1503,1362,1662,660,635,621,1162,375,343,433,256,603,509,687.662946
"SC","  South Carolina","Southeast",2332,638,548,715,1357,769,1111,1188,1419,1408,1515,1722,1920,1517.275067
"GA","  Georgia","Southeast",2016,2281,503,505,151,1026,653,634,974,1912,1423,1413,2584,2343.803997
"FL","  Florida","Southeast",3008,2158,1383,121,800,2609,1095,1361,1042,594,954,2270,2992,1485.90679
"AL","  Alabama","Southeast",1950,1972,427,923,542,639,637,400,801,884,931,815,1252,1468.100403
"MS","  Mississippi","Delta States",1826,1129,1200,1221,553,914,767,1801,1865,1847,1791,1327,1607,1264.855518
"AR","  Arkansas","Delta States",1530,1143,1831,36,29,478,598,333,616,1144,669,467,876,1038.734492
"LA","  Louisiana","Delta States",5105,3220,3149,3132,2655,3053,3353,3748,3785,4442,3982,4447,4112,4379.88694
"OK","  Oklahoma","Southern Plains",767,1690,870,1593,141,368,629,467,628,540,765,1120,2625,2312.484091
"TX","  Texas","Southern Plains",3155,8838,4855,553,1408,2153,3139,1599,1505,3194,2578,6699,7013,3676.147635
"MT","  Montana","Mountain",2595,1556,502,3416,2877,2524,3158,2894,2785,2649,2418,2769,2458,1201.863357
"ID","  Idaho","Mountain",5533,3121,2302,5513,2713,2609,3570,2976,2524,2606,2582,3409,2305,5237.928931
"WY","  Wyoming","Mountain",3848,1001,773,2385,1602,2331,2204,2448,2190,2023,1958,2571,2697,221.794271
"CO","  Colorado","Mountain",3092,2537,516,2282,1817,3115,3552,2791,2118,2067,1914,1554,417,682.326263
"NM","  New Mexico","Mountain",1805,1263,2120,3394,1175,1909,2295,1865,1600,2152,2081,1979,1410,1232.421135
"AZ","  Arizona","Mountain",1769,1119,2737,3342,2049,4070,3872,1960,1661,1294,1128,2825,897,149.710686
"UT","  Utah","Mountain",4256,4186,4327,7538,5688,5947,6929,6910,6491,6573,6596,7367,5882,2347.696208
"NV","  Nevada","Mountain",4951,4369,6989,3392,4006,6419,8412,8515,8512,8545,7959,8404,7088,2380.372815
"WA","  Washington","Pacific",903,884,2708,1976,441,1172,1688,1234,1573,1461,1264,1378,1682,409.582927
"OR","  Oregon","Pacific",835,862,288,1897,1218,1788,1067,1602,1535,2896,2913,2840,1112,986.961834
"CA","  California","Pacific",12397,3024,8875,12826,10557,10787,8900,11221,10567,10277,11353,7355,6997,5213.203539
"AK","  Alaska","Others",NA,212462,NA,213703,213335,212081,209888,208666,135067,132349,131802,132230,130760,127898.409462
"HI","  Hawaii","Others",NA,1063,NA,584,358,525,269,317,463,363,130,220,374,624.752888
"01","Northeast","Northeast Total",5112,6211,7191,5983,4907,4716,6203,5931,4471,4454,5601,7686,6439,3272.218948
"02","Lake States","Lake States Total",4978,6404,7145,5022,4336,8750,9717,10375,10683,11820,12911,13710,11555,8911.171718
"03","Corn Belt","Corn Belt Total",7926,12902,11401,6100,7419,5657,9101,9456,8934,8494,6508,7399,8050,5394.169262
"04","Northern Plains","Northern Plains Total",6008,5249,2723,1271,1906,2475,4481,6156,5723,6200,6852,6450,8731,6845.213501
"05","Appalachian","Appalachian Total",5726,6249,5136,3740,2666,2093,3496,4004,4464,4470,3861,4996,4501,4159.723658
"06","Southeast","Southeast Total",9306,7049,2861,2264,2850,5043,3496,3583,4236,4798,4823,6220,8748,6815.086258
"07","Delta States","Delta States Total",8461,5492,6180,4389,3237,4445,4718,5882,6266,7433,6442,6241,6595,6683.47695
"08","Southern Plains","Southern Plains Total",3922,10528,5725,2146,1549,2521,3768,2066,2133,3734,3343,7819,9638,5988.631727
"09","Mountain","Mountain Total",27849,19152,20266,31262,21927,28924,33992,30359,27881,27909,26636,30877,23153,13454.113664
"10","Pacific","Pacific Total",14135,4770,11871,16699,12216,13747,11655,14057,13675,14634,15530,11573,9791,6609.7483
"11","Others","Other Total",NA,213525,NA,214287,213693,212606,210157,208983,135530,132712,131932,132450,131134,128523.16
