"code","state","regions","Y1945","Y1949","Y1954","Y1959","Y1964","Y1969","Y1974","Y1978","Y1982","Y1987","Y1992","Y1997","Y2002","Y2007"
"ME","  Maine ","Northeast",3.222,4.606,4.294,3.104,2.834,2.537,3.588,2.921,2.702,3.579,3.721,6.06,7.432,5.096
"NH","  New Hampshire","Northeast",0.71,1.837,4.089,4.472,4.203,3.514,3.791,2.112,1.946,1.407,2.944,5.993,6.76,3.487
"VT","  Vermont","Northeast",1.92,0.505,4.16,6.03,0.91,2.647,4.013,2.006,2.123,2.376,3.868,5.152,3.345,1.756
"MA","  Massachusetts","Northeast",2.668,4.409,5.084,1.43,1.955,1.976,12.717,2.995,0.04,0,0.578,0.558,1.973,0.764
"RI","  Rhode Island","Northeast",3.102,0,3.102,0,1.043,1.043,7.75,0,0,0.444,0.448,0.897,1.943,0.194
"CT","  Connecticut","Northeast",2.711,4.466,3.094,0.766,0.866,1.767,10.443,4.788,4.971,0.225,1.645,0.419,1.774,0.981
"NY","  New York","Northeast",8.016,10.285,9.836,9.837,10.556,8.379,8.324,8.268,5.204,5.597,6.753,10.423,8.168,2.905
"NJ","  New Jersey","Northeast",3.573,2.971,11.882,4.342,3.506,2.41,12.279,7.563,2.867,1.151,0.864,2.906,1.538,1.312
"PA","  Pennsylvania","Northeast",3.327,3.181,4.933,4.343,0.777,2.078,1.633,4.799,4.811,5.364,7.377,7.732,4.895,1.893
"DE","  Delaware","Northeast",9.637,12.164,11.769,9.558,13.17,10.647,10.883,9.937,5.012,3.314,9.432,12.71,8.313,5.9
"MD","  Maryland","Northeast",5.752,6.768,5.06,0.886,1.943,4.408,4.344,6.493,6.051,2.827,1.103,2.078,2.67,5.349
"MI","  Michigan","Lake States",4.749,7.486,7.692,4.354,4.207,9.633,10.753,11.025,11.311,12.68,11.904,9.398,9.022,7.161
"WI","  Wisconsin","Lake States",1.219,1.685,2.825,3.056,2.78,7.141,9.585,8.214,8.038,11.406,11.378,12.54,8.013,6.399
"MN","  Minnesota  ","Lake States",5.503,6.019,6.54,4.615,3.62,5.435,4.86,6.903,7.385,6.335,9.083,11.646,10.773,8.015
"OH","  Ohio","Corn Belt",6.399,11.109,9.783,9.08,9.642,7.356,9.549,10.319,8.901,6.695,6.284,5.83,7.265,6.661
"IN","  Indiana","Corn Belt",9.443,12.485,9.741,5.553,5.768,5.099,7.034,7.445,7.332,6.853,8.363,5.841,6.787,5.314
"IL","  Illinois","Corn Belt",6.94,8.232,8.324,4.861,3.697,2.015,5.266,3.929,3.653,2.617,1.22,2.591,2.058,1.058
"IA","  Iowa","Corn Belt",2.375,4.843,3.541,0.067,3.962,3.003,2.818,4.246,4.512,6.1,3.965,5.808,4.878,2.842
"MO","  Missouri","Corn Belt",1.62,5.44,5.252,1.512,1.831,1.712,4.72,4.774,4.521,4.632,2.47,3.47,4.788,2.35
"ND","  North Dakota","Northern Plains",6.687,3.479,2.143,0.499,1.737,2.267,3.523,3.367,3.143,3.529,3.467,4.416,6.134,4.054
"SD","  South Dakota","Northern Plains",3.587,1.85,1.119,0.207,0.625,0.5,1.997,3.635,2.82,3.15,2.17,1.855,3.171,2.872
"NE","  Nebraska","Northern Plains",1.205,0.532,0.785,0.534,0.551,1.393,1.536,1.502,2.179,3.894,3.801,2.652,3.356,2.072
"KS","  Kansas","Northern Plains",1.26,4.799,1.578,1.306,1.07,1.041,2.285,4.128,3.609,2.281,4.577,4.381,5.409,5.045
"VA","  Virginia","Appalachian",2.784,5.221,3.059,1.318,1.059,1.033,2.934,2.408,1.865,2.652,3.607,3.958,5.178,4.18
"WV","  West Virginia","Appalachian",1.537,2.349,5.697,1.83,2.349,0.688,2.447,6.433,6.129,5.332,4.249,4.132,3.258,0.461
"NC","  North Carolina","Appalachian",8.944,8.303,4.185,3.032,2.823,2.427,2.084,4.246,6.456,6.567,5.51,5.818,5.607,5.931
"KY","  Kentucky","Appalachian",1.8,2.285,1.96,5.919,2.023,1.36,2.203,2.755,2.69,1.918,1.251,3.697,1.695,1.938
"TN","  Tennessee","Appalachian",5.597,5.092,6.213,2.469,2.398,2.348,4.393,1.418,1.302,1.644,0.97,2.286,1.93,2.607
"SC","  South Carolina","Southeast",11.91,3.29,2.825,3.691,7.002,3.975,5.743,6.141,7.341,7.284,7.862,8.936,9.964,7.874
"GA","  Georgia","Southeast",5.383,6.094,1.344,1.354,0.405,2.761,1.757,1.706,2.621,5.146,3.839,3.812,6.972,6.324
"FL","  Florida","Southeast",8.662,6.214,3.982,0.348,2.309,7.537,3.163,3.931,3.007,1.714,2.761,6.569,8.669,4.305
"AL","  Alabama","Southeast",5.965,6.032,1.306,2.825,1.665,1.969,1.963,1.233,2.465,2.721,2.866,2.509,3.855,4.521
"MS","  Mississippi","Delta States",6.017,3.734,3.968,4.04,1.825,3.02,2.534,5.95,6.17,6.11,5.965,4.42,5.353,4.213
"AR","  Arkansas","Delta States",4.534,3.39,5.431,0.107,0.087,1.438,1.799,1.002,1.848,3.432,2.007,1.401,2.629,3.117
"LA","  Louisiana","Delta States",17.656,11.14,10.895,10.849,9.187,10.617,11.661,13.034,13.283,15.589,14.282,15.949,14.749,15.71
"OK","  Oklahoma","Southern Plains",1.73,3.825,1.969,3.613,0.319,0.836,1.429,1.061,1.429,1.229,1.74,2.548,5.973,5.262
"TX","  Texas","Southern Plains",1.87,5.241,2.879,0.329,0.837,1.283,1.871,0.953,0.897,1.905,1.538,3.996,4.186,2.194
"MT","  Montana","Mountain",2.771,1.667,0.538,3.662,3.087,2.709,3.389,3.106,2.993,2.847,2.596,2.972,2.639,1.29
"ID","  Idaho","Mountain",10.44,5.892,4.346,10.415,5.127,4.931,6.747,5.624,4.785,4.941,4.875,6.437,4.353,9.891
"WY","  Wyoming","Mountain",6.166,1.604,1.239,3.826,2.573,3.747,3.543,3.935,3.528,3.259,3.151,4.137,4.34,0.357
