"code","state","regions","Y1945","Y1949","Y1954","Y1959","Y1964","Y1969","Y1974","Y1978","Y1982","Y1987","Y1992","Y1997","Y2002","Y2007"
"ME","  Maine ","Northeast",19866,19866,19866,19848,19797,19789,19789,19789,19837,19837,19753,19753,19752,19752
"NH","  New Hampshire","Northeast",5775,5771,5771,5769,5781,5777,5777,5777,5756,5756,5740,5740,5740,5740
"VT","  Vermont","Northeast",5938,5938,5938,5937,5935,5931,5931,5931,5935,5935,5920,5920,5920,5920
"MA","  Massachusetts","Northeast",5060,5035,5035,5035,5013,5009,5009,5009,5008,5008,5016,5016,5018,5018
"RI","  Rhode Island","Northeast",677,677,677,677,671,671,671,671,675,675,669,669,669,669
"CT","  Connecticut","Northeast",3135,3135,3135,3135,3117,3112,3112,3112,3118,3118,3101,3101,3101,3101
"NY","  New York","Northeast",30675,30684,30684,30681,30636,30612,30612,30612,30321,30321,30223,30223,30217,30217
"NJ","  New Jersey","Northeast",4814,4814,4814,4813,4820,4813,4813,4813,4779,4779,4748,4748,4747,4747
"PA","  Pennsylvania","Northeast",28829,28829,28829,28805,28816,28778,28778,28778,28728,28728,28685,28685,28683,28683
"DE","  Delaware","Northeast",1266,1266,1266,1266,1268,1268,1268,1268,1237,1237,1251,1251,1251,1251
"MD","  Maryland","Northeast",6328,6324,6324,6319,6330,6330,6330,6330,6296,6296,6256,6256,6255,6255
"MI","  Michigan","Lake States",36494,36494,36494,36492,36364,36363,36363,36363,36451,36451,36358,36358,36355,36355
"WI","  Wisconsin","Lake States",35018,35011,35011,35011,34857,34857,34857,34857,34833,34833,34761,34761,34758,34758
"MN","  Minnesota  ","Lake States",51206,51206,51206,51206,50745,50745,50745,50745,50911,50911,50954,50954,50950,50950
"OH","  Ohio","Corn Belt",26318,26240,26240,26222,26249,26224,26224,26224,26243,26243,26209,26209,26207,26207
"IN","  Indiana","Corn Belt",23171,23171,23171,23158,23161,23102,23102,23102,22996,22996,22957,22957,22955,22955
"IL","  Illinois","Corn Belt",35806,35798,35798,35795,35761,35679,35679,35679,35613,35613,35580,35580,35574,35574
"IA","  Iowa","Corn Belt",35831,35869,35869,35861,35868,35802,35802,35802,35818,35818,35760,35760,35756,35756
"MO","  Missouri","Corn Belt",44333,44305,44305,44248,44190,44157,44157,44157,44125,44125,44095,44095,44087,44087
"ND","  North Dakota","Northern Plains",44835,44836,44836,44452,44339,44339,44339,44339,44352,44352,44156,44156,44145,44145
"SD","  South Dakota","Northern Plains",48983,48983,48983,48882,48612,48611,48611,48611,48609,48609,48573,48573,48566,48566
"NE","  Nebraska","Northern Plains",49058,49064,49064,49032,48974,48949,48949,48949,49052,49052,49202,49202,49198,49198
"KS","  Kansas","Northern Plains",52552,52549,52549,52511,52516,52344,52344,52344,52338,52338,52367,52367,52362,52362
"VA","  Virginia","Appalachian",25535,25532,25532,25496,25498,25459,25459,25459,25410,25410,25343,25343,25340,25340
"WV","  West Virginia","Appalachian",15418,15411,15411,15411,15414,15405,15405,15405,15436,15436,15415,15415,15410,15410
"NC","  North Carolina","Appalachian",31451,31422,31422,31403,31283,31231,31231,31231,31260,31260,31180,31180,31175,31175
"KY","  Kentucky","Appalachian",25670,25513,25513,25512,25505,25376,25376,25376,25388,25388,25429,25429,25426,25426
