"state","regions","Y1945","Y1949","Y1954","Y1959","Y1964","Y1969","Y1974","Y1978","Y1982","Y1987","Y1992","Y1997","Y2002","Y2007"
"  Maine ","Northeast",97,104,113,173,176,201,214,559,605,612,476,581,223,222.774693
"  New Hampshire","Northeast",61,66,67,90,97,151,163,350,367,412,329,376,357,358.599202
"  Vermont","Northeast",46,50,45,52,53,42,42,70,85,93,103,120,95,96.27495
"  Massachusetts","Northeast",456,452,479,752,781,897,992,1234,1340,1125,1422,1515,1807,1837.360246
"  Rhode Island","Northeast",97,91,102,126,130,151,154,170,173,190,202,214,250,254.366123
"  Connecticut","Northeast",260,279,253,407,453,514,548,713,778,770,850,910,1133,1153.133675
"  New York","Northeast",1084,1143,1057,1503,1603,1561,1686,1959,2173,2241,2282,2431,2535,2570.965295
"  New Jersey","Northeast",763,794,776,996,1103,1155,1224,1320,1373,1411,1636,1712,1794,1816.263161
"  Pennsylvania","Northeast",913,928,967,1300,1320,1367,1462,1701,1844,1944,2018,2146,2745,2798.969146
"  Delaware","Northeast",23,23,38,62,70,79,87,106,118,134,146,154,195,199.924205
"  Maryland","Northeast",136,157,201,321,361,475,546,772,906,973,1094,1208,1164,1189.190531
"  Michigan","Lake States",653,803,819,1133,1186,1248,1355,1482,1566,1632,1760,1896,2153,2189.079432
"  Wisconsin","Lake States",406,482,524,742,770,693,740,869,931,983,1053,1113,1051,1063.315783
"  Minnesota  ","Lake States",454,499,493,778,804,688,731,1216,1383,1466,1197,1419,966,965.658839
"  Ohio","Corn Belt",820,887,1006,1503,1584,1673,1724,2032,2149,2286,2415,2559,2570,2603.308416
"  Indiana","Corn Belt",339,398,416,583,608,790,906,979,1040,1191,1179,1325,1423,1449.728559
"  Illinois","Corn Belt",729,809,890,1142,1194,1385,1500,1671,1796,1905,2022,2215,2302,2341.389634
"  Iowa","Corn Belt",413,456,445,530,530,456,477,655,677,746,712,801,521,521.322806
"  Missouri","Corn Belt",350,400,496,596,618,749,855,974,1067,1237,1298,1390,1170,1186.300068
"  North Dakota","Northern Plains",44,55,55,66,68,62,78,90,102,112,111,129,94,94.628496
"  South Dakota","Northern Plains",65,80,78,87,89,80,93,102,110,126,138,150,108,108.806898
"  Nebraska","Northern Plains",140,152,137,163,168,173,201,223,243,269,264,294,293,297.856658
"  Kansas","Northern Plains",186,227,242,299,305,370,435,478,536,636,614,693,554,561.649107
"  Virginia","Appalachian",211,344,369,551,612,727,863,1115,1267,1404,1471,1654,1526,1555.183988
"  West Virginia","Appalachian",144,155,175,198,194,147,156,189,210,236,254,288,364,372.20991
"  North Carolina","Appalachian",341,360,410,596,631,683,832,1078,1255,1477,1562,1760,2294,2356.739866
"  Kentucky","Appalachian",169,197,219,314,326,383,477,538,600,708,693,793,783,798.663061
"  Tennessee","Appalachian",231,278,335,519,554,710,805,1197,1353,1650,1572,1695,1566,1594.388287
"  South Carolina","Southeast",192,235,254,362,380,406,516,700,822,1005,982,1102,1201,1230.201447
"  Georgia","Southeast",362,440,495,765,831,822,928,1347,1571,1891,1923,2132,2407,2464.665434
"  Florida","Southeast",513,773,634,1003,1155,1442,1891,2397,2867,3643,3358,3902,3960,4051.791375
"  Alabama","Southeast",212,428,475,774,813,653,707,1408,1555,1834,1779,2000,1139,1139.966823
"  Mississippi","Delta States",158,210,212,301,316,354,450,545,619,749,748,852,599,606.679159
"  Arkansas","Delta States",152,192,213,282,303,333,420,567,638,784,860,931,582,588.628824
"  Louisiana","Delta States",339,439,390,535,575,513,537,737,865,883,1109,1282,1070,1088.329569
"  Oklahoma","Southern Plains",190,230,237,505,535,506,535,1060,1250,1471,1293,1473,736,736.468058
"  Texas","Southern Plains",733,1039,1534,2501,2732,2497,2609,3741,4422,5161,5110,5697,4585,4645.545167
"  Montana","Mountain",49,59,58,74,77,75,90,111,127,142,171,196,168,171.275195
"  Idaho","Mountain",61,74,63,96,98,106,141,146,163,187,223,233,263,269.041807
"  Wyoming","Mountain",35,45,39,48,49,49,63,80,103,111,166,206,109,110.381887
"  Colorado","Mountain",106,131,151,230,256,336,430,546,663,792,909,1070,814,831.024831
"  New Mexico","Mountain",117,187,155,198,212,225,279,339,384,471,541,636,484,492.704009
"  Arizona","Mountain",44,76,82,312,380,411,530,799,977,1194,1371,1746,1080,1098.651269
"  Utah","Mountain",195,248,197,243,264,221,240,384,459,526,497,549,444,450.156094
"  Nevada","Mountain",27,47,41,53,78,125,184,215,262,300,631,801,350,355.611919
"  Washington","Pacific",248,359,330,489,508,603,689,776,896,1012,1240,1371,1367,1397.156966
"  Oregon","Pacific",146,197,184,273,291,323,382,432,471,519,565,610,662,675.073251
"  California","Pacific",1463,2166,1571,2456,2882,3191,3550,4007,4448,5224,5572,5922,5095,5166.492192
"  Alaska","Others",NA,NA,NA,21,23,47,83,254,353,535,433,567,167,167.393218
"  Hawaii","Others",NA,NA,NA,75,83,126,178,174,180,199,517,678,227,227.081151
"Northeast","Northeast Total",3975,4126,4137,5821,6186,6632,7157,8993,9802,9945,10597,11407,12338,12537.010378
"Lake States","Lake States Total",1513,1784,1836,2653,2760,2629,2826,3567,3880,4081,4010,4428,4170,4218.054054
"Corn Belt","Corn Belt Total",2651,2950,3253,4354,4534,5053,5462,6311,6729,7365,7626,8290,7987,8102.049483
"Northern Plains","Northern Plains Total",435,514,512,615,630,685,807,893,991,1143,1127,1266,1049,1062.941159
"Appalachian","Appalachian Total",1096,1334,1508,2178,2317,2650,3133,4117,4685,5475,5552,6192,6534,6677.185112
"Southeast","Southeast Total",1279,1876,1858,2904,3179,3323,4042,5852,6815,8373,8042,9136,8707,8886.62508
"Delta States","Delta States Total",649,841,815,1118,1194,1200,1407,1849,2122,2416,2717,3065,2251,2283.637552
